X_start,y_start,X_autograd,y_autograd,X_new,y_new,X_gd_cd,y_gd_cd,X_ga,y_ga
[-1. -1.],18.964,[-0.988038 -0.988038],18.899,[-0.97306147 -0.97970621],18.956713332791015,[-0.98803798 -0.98803798],18.899,[0.04099154 0.0344769 ],1.703
[-1.  0.],15.208,[-0.9760294  0.       ],15.088,[0.00590198 0.00078586],0.13457599238583073,[-0.97602942  0.        ],15.088,[0.00241025 0.01139987],0.279
[-1.  1.],18.964,[-0.988038  0.988038],18.899,[-0.96165219  0.9581028 ],19.161285613278302,[-0.98803798  0.98803798],18.899,[-0.04109367  0.0052196 ],1.233
[ 0. -1.],15.208,[ 0.        -0.9760294],15.088,[-0.00222398 -0.96089369],15.125170486882702,[ 0.         -0.97602942],15.088,[-0.00317169  0.02790773],0.77
[0. 0.],-0.0,[nan nan],,[0.00590191 0.00078586],0.13457609615609956,[0. 0.],-0.0,[-0.00574991  0.10118195],3.399
[0. 1.],15.208,[0.        0.9760294],15.088,[0.00580599 0.94171754],15.240514236601904,[0.         0.97602942],15.088,[-0.07225739  0.03246903],2.682
[ 1. -1.],18.964,[ 0.988038 -0.988038],18.899,[ 0.96674985 -0.96979157],19.04178138806582,[ 0.98803798 -0.98803798],18.899,[-0.03247207 -0.0123987 ],0.998
[1. 0.],15.208,[0.9760294 0.       ],15.088,[0.00590194 0.00078586],0.13457647223365088,[0.97602942 0.        ],15.088,[0.02830178 0.05770101],2.111
[1. 1.],18.964,[0.988038 0.988038],18.899,[0.97648674 0.98328955],18.930612693135096,[0.98803798 0.98803798],18.899,[0.03112425 0.08035794],2.932
