X_start,y_start,X_autograd,y_autograd,X_new,y_new,X_gd_cd,y_gd_cd,X_ga,y_ga
[-3. -3.],7.864787019219834,[-2.94349837 -2.94349837],7.568240766668902,[-8.39189936e-03 -2.83822174e-05],7.042478033549865e-05,[-2.94349806 -2.94349806],7.568240766660342,[ 0.0036119  -0.05732662],0.0032993872526894718
[-3. -2.],12.932166509822226,[-7.83573650e-03 -1.63155869e-06],6.139876913178181e-05,[-0.00960291  0.00208374],9.655774905515374e-05,[-0.0087862  -0.00590544],0.00011207157182875244,[ 0.02906068 -0.01527992],0.0010779993686898964
[-3. -1.],9.999999979249584,[-7.83263706e-03 -2.95475583e-24],6.135020326212062e-05,[-0.01046355  0.00537995],0.0001384297447766429,[-0.01004089 -0.00334696],0.00011202168251624434,[ 0.00181789 -0.03331824],0.0011134097708193672
[-3.  0.],9.0,[-7.83263706e-03  3.26986722e-08],6.135020326318982e-05,[-0.01017922  0.00904284],0.00018538956455691272,[-0.01059858  0.        ],0.0001123298994692299,[-0.06608472  0.15270904],0.027687239508325204
[-3.  1.],9.999999979249584,[-7.83263706e-03  2.95475583e-24],6.135020326212062e-05,[-0.00887541  0.01211077],0.00022544381015615291,[-0.01004089  0.00334696],0.00011202168251624434,[-0.00770383  0.00243713],6.528850747178173e-05
[-3.  2.],12.932166509822226,[-7.83573650e-03  1.63155869e-06],6.139876913178181e-05,[-0.00728369  0.01410888],0.00025211260299367433,[-0.0087862   0.00590544],0.00011207157182875244,[ 0.02149936 -0.0061511 ],0.0005000583492606032
[-3.  3.],7.864787019219836,[-2.94349837  2.94349837],7.568240766668902,[-0.00604834  0.01515093],0.0002661332698841916,[-2.94349806  2.94349806],7.568240766660342,[ 0.05028874 -0.00587956],0.002563526468334039
[-3.  4.],14.796953570542891,[-2.94261026  3.9041481 ],14.280575255849735,[-0.00557172  0.01547953],0.00027065992836336527,[-2.94260905  3.90414716],14.280575255755517,[-0.05242599  0.10281071],0.013318525787548448
[-3.  5.],23.864787019219833,[-2.94046736  4.87145662],23.077296196192425,[-0.00526602  0.01566532],0.0002731331218069725,[-2.94046607  4.87145059],23.07729619501748,[ 0.04887387 -0.00200202],0.0023926630744577253
[-2. -5.],28.932166509822224,[-3.23196887e-30 -8.04596953e-03],6.473762569281574e-05,[-0.00399435 -0.00359156],2.885418555883285e-05,[-0.00396451 -0.00982762],0.00011229940252260035,[-0.04384691  0.02235041],0.0024220920368780235
[-2. -4.],19.9317125105246,[-1.02979576e-13 -7.98392761e-03],6.374310016135035e-05,[-0.00511051 -0.0030038 ],3.514013198286084e-05,[-0.00476756 -0.00945304],0.00011208951049773986,[-0.01422955 -0.00897705],0.00028306765967916635
[-2. -3.],12.932166509822226,[-1.63155869e-06 -7.83573650e-03],6.139876913178181e-05,[-0.00653351 -0.0019773 ],4.6596491799960794e-05,[-0.00590544 -0.0087862 ],0.00011207157182875244,[-0.06585403  0.03975554],0.0059172568566769595
[-2. -2.],7.999546000424616,[-0.0047643 -0.0047643],4.539702605803374e-05,[-8.35084508e-03 -6.53237494e-05],6.974088078468091e-05,[-0.00748832 -0.00748832],0.0001121497754014222,[0.00203956 0.03460313],0.0012015365290490804
[-2. -1.],4.999999999861121,[-7.28384173e-03 -3.11058335e-09],5.3054350281253436e-05,[-0.01015505  0.00364696],0.00011642536781505041,[-0.00946449 -0.00473225],0.00011197080723874446,[ 0.01681053 -0.00291984],0.0002911193657621851
[-2.  0.],4.0,[-7.28384173e-03 -5.69979511e-06],5.3054382768908065e-05,[-0.0101969   0.00902862],0.00018549275887832205,[-0.01058735  0.        ],0.00011209188485422212,[ 0.0121295  -0.00329266],0.00015796637330244508
[-2.  1.],4.999999999861121,[-7.28384173e-03  3.11058335e-09],5.3054350281253436e-05,[-0.00808187  0.01323178],0.00024039671337928203,[-0.00946449  0.00473225],0.00011197080723874446,[-0.06545543  0.01739802],0.004587104035979905
[-2.  2.],7.999546000424616,[-0.0047643  0.0047643],4.539702605803374e-05,[-0.00598422  0.01519639],0.0002667412703642944,[-0.00748832  0.00748832],0.0001121497754014222,[ 0.12021221 -0.00636482],0.014491486469306775
[-2.  3.],12.932166509822226,[-1.63155869e-06  7.83573650e-03],6.139876913178181e-05,[-0.00457699  0.01605519],0.00027871796383652827,[-0.00590544  0.0087862 ],0.00011207157182875244,[-0.00888739 -0.02011483],0.0004835920961754928
[-2.  4.],19.9317125105246,[-1.02979576e-13  7.98392761e-03],6.374310016135035e-05,[-0.00365479  0.01647228],0.0002846936230471922,[-0.00476756  0.00945304],0.00011208951049773986,[ 0.01059978 -0.00289415],0.0001207314798684576
[-2.  5.],28.932166509822224,[-3.23196887e-30  8.04596953e-03],6.473762569281574e-05,[-0.00298772  0.01670587],0.0002880126288650885,[-0.00396451  0.00982762],0.00011229940252267809,[0.02806235 0.02110485],0.0012329099481857113
[-1. -5.],25.999999979249584,[ 2.31214247e-43 -8.03814176e-03],6.461172302942107e-05,[-0.0012339 -0.004415 ],2.1014733957594116e-05,[-0.00207836 -0.01039178],0.00011230862015118633,[0.04395593 0.01392941],0.002126152789039317
[-1. -4.],16.999999979110704,[ 2.31214247e-43 -7.98363890e-03],6.373849016525022e-05,[-0.00194248 -0.0042786 ],2.2079617689420435e-05,[-0.0025697 -0.0102788],0.00011225712416001732,[-0.00237753  0.01403678],0.00020268393439449466
[-1. -3.],9.999999979249584,[-2.95475583e-24 -7.83263706e-03],6.135020326212062e-05,[-0.00307315 -0.00395442],2.5081745789236095e-05,[-0.00334696 -0.01004089],0.00011202168251624434,[0.04757871 0.00142966],0.0022657774236415937
[-1. -2.],4.999999999861121,[-3.11058335e-09 -7.28384173e-03],5.3054350281253436e-05,[-0.00499666 -0.00308843],3.4505039379951024e-05,[-0.00473225 -0.00946449],0.00011197080723874446,[-0.01264243 -0.00632626],0.0001998526156150103
[-1. -1.],2.0,[-0.00343915 -0.00343915],2.365544850912928e-05,[-8.34485319e-03 -9.50172689e-05],6.964560306698439e-05,[-0.00748468 -0.00748468],0.00011204097795038993,[-0.01884458 -0.05129525],0.002986320957720968
[-1.  0.],1.0,[-5.24200499e-03  6.55990754e-17],2.747861632124149e-05,[-0.01017277  0.00905033],0.0001853937506796063,[-0.01058254  0.        ],0.00011199009416514612,[-0.00444511 -0.03013736],0.0009280197044767436
[-1.  1.],2.0,[-0.00343915  0.00343915],2.365544850912928e-05,[-0.0059628  0.0152079],0.00026683510664041995,[-0.00748468  0.00748468],0.00011204097795038993,[-0.00099598  0.00309369],1.0562893520352236e-05
[-1.  2.],4.999999999861121,[-3.11058335e-09  7.28384173e-03],5.3054350281253436e-05,[-0.0035282   0.01651098],0.00028506081182291213,[-0.00473225  0.00946449],0.00011197080723874446,[-0.03009029  0.06770217],0.0054890094140200045
[-1.  3.],9.999999979249584,[-2.95475583e-24  7.83263706e-03],6.135020326212062e-05,[-0.00236464  0.01689137],0.0002909097471585606,[-0.00334696  0.01004089],0.00011202168251624434,[-0.05064231  0.03879202],0.004069464003375761
[-1.  4.],16.999999979110704,[2.57838917e-43 7.98363890e-03],6.373849016525022e-05,[-0.00171814  0.01703736],0.0002932236585779851,[-0.0025697  0.0102788],0.00011225712416001732,[-0.02633969 -0.0006642 ],0.000694220174715457
[-1.  5.],25.999999979249584,[-1.68155816e-43  8.03814176e-03],6.461172302942107e-05,[-0.00131579  0.01711463],0.00029464171307442606,[-0.00207836  0.01039178],0.00011230862015118633,[-0.06932371  0.06240822],0.008700562389500632
[ 0. -5.],25.0,[-3.19313571e-08 -8.03814176e-03],6.461172303044068e-05,[ 0.00156769 -0.00450854],2.278461038482627e-05,[ 0.         -0.01058071],0.0001119515236285735,[-0.04496626  0.02471499],0.0026327954746548747
[ 0. -4.],16.0,[-4.28226794e-11 -7.98363890e-03],6.373849016525022e-05,[ 0.00154594 -0.00451284],2.2755630152192317e-05,[ 0.         -0.01059216],0.00011219376806353328,[-0.01239783  0.08585965],0.007525585642682789
[ 0. -3.],9.0,[ 1.74623160e-08 -7.83263706e-03],6.135020326242555e-05,[ 0.00151551 -0.0045104 ],2.2640491236135513e-05,[ 0.         -0.01059858],0.0001123298994692299,[-0.029897   -0.00588225],0.0009284315098224557
[ 0. -2.],4.0,[-7.25150440e-10 -7.28384173e-03],5.305435028124429e-05,[ 0.00148075 -0.00451864],2.261073290552609e-05,[ 0.         -0.01058735],0.00011209188485422212,[ 0.01738846 -0.00565001],0.0003342813300047143
[ 0. -1.],1.0,[ 1.29049636e-12 -5.24200499e-03],2.747861632124149e-05,[ 0.00138683 -0.0045232 ],2.2382660292014546e-05,[ 0.         -0.01058254],0.00011199009416514612,[ 0.08002201 -0.00860465],0.0064775628380803335
[0. 0.],-3.2776050495962114e-38,[0. 0.],-3.2776050495962114e-38,[0.00026031 0.00318585],1.02174163322706e-05,[0. 0.],-3.2776050495962114e-38,[0.12666776 0.05487486],0.01905597277051383
[0. 1.],1.0,[6.55990754e-17 5.24200499e-03],2.747861632124149e-05,[0.00038251 0.0172562 ],0.00029792268142763773,[0.         0.01058254],0.00011199009416514612,[ 0.01661341 -0.00558175],0.00030716123017534327
[0. 2.],4.0,[1.70446569e-07 7.28384173e-03],5.305435031029579e-05,[0.00039749 0.0172523 ],0.00029779978940077246,[0.         0.01058735],0.00011209188485422212,[-0.02086051 -0.00047432],0.000435385722197713
[0. 3.],9.0,[0.00012508 0.00783264],6.136584798767168e-05,[0.00039917 0.01724982],0.0002977154601264697,[0.         0.01059858],0.0001123298994692299,[-0.08981258  0.05386253],0.010967471799800142
[0. 4.],16.0,[-7.28916689e-07  7.98363890e-03],6.373849069656975e-05,[0.00039435 0.01724604],0.00029758143004500416,[0.         0.01059216],0.00011219376806353328,[0.04728068 0.04095883],0.003913088549812971
[0. 5.],25.0,[-1.91322485e-07  8.03814176e-03],6.461172306602536e-05,[0.00039152 0.01725708],0.0002979602011456086,[0.         0.01058071],0.0001119515236285735,[-0.01255858  0.02109072],0.0006025363530136275
[ 1. -5.],25.999999979249584,[-2.31214247e-43 -8.03814176e-03],6.461172302942107e-05,[ 0.00424352 -0.00393082],3.345883020675926e-05,[ 0.00207836 -0.01039178],0.00011230862015118633,[ 0.00671458 -0.02744176],0.0007981359231088969
[ 1. -4.],16.999999979110704,[-2.31214247e-43 -7.98363890e-03],6.373849016525022e-05,[ 0.0048367  -0.00370958],3.715465026755377e-05,[ 0.0025697 -0.0102788],0.00011225712416001732,[-0.00681402 -0.00592179],8.149839775133844e-05
[ 1. -3.],9.999999979249584,[ 2.95475583e-24 -7.83263706e-03],6.135020326212062e-05,[ 0.00575485 -0.00324283],4.363421248495856e-05,[ 0.00334696 -0.01004089],0.00011202168251624434,[-0.04483947  0.00211783],0.0020150628765554534
[ 1. -2.],4.999999999861121,[ 3.11058335e-09 -7.28384173e-03],5.3054350281253436e-05,[ 0.00732175 -0.00224704],5.865716638286493e-05,[ 0.00473225 -0.00946449],0.00011197080723874446,[-0.01777459 -0.02974618],0.0012007713066535023
[ 1. -1.],2.0,[ 0.00343915 -0.00343915],2.365544850912928e-05,[0.00999251 0.00080562],0.00010049922403452527,[ 0.00748468 -0.00748468],0.00011204097795038993,[-0.10791839 -0.02690975],0.012370514257882121
[1. 0.],1.0,[5.24200499e-03 6.55990754e-17],2.747861632124149e-05,[0.01101702 0.00950854],0.00021178695142643245,[0.01058254 0.        ],0.00011199009416514612,[0.04427943 0.01828554],0.002295028846453233
[1. 1.],2.0,[0.00343915 0.00343915],2.365544850912928e-05,[0.00668962 0.01534298],0.00028015811079608934,[0.00748468 0.00748468],0.00011204097795038993,[ 0.00087432 -0.01904954],0.000363649305786091
[1. 2.],4.999999999861121,[3.11058335e-09 7.28384173e-03],5.3054350281253436e-05,[0.00427825 0.01657551],0.000293050927897677,[0.00473225 0.00946449],0.00011197080723874446,[-0.0529482   0.03147146],0.00379396415763621
[1. 3.],9.999999979249584,[2.95475583e-24 7.83263706e-03],6.135020326212062e-05,[0.0031334  0.01691481],0.0002959290556839044,[0.00334696 0.01004089],0.00011202168251624434,[0.01846011 0.02393161],0.00091349781067818
[1. 4.],16.999999979110704,[-2.31214247e-43  7.98363890e-03],6.373849016525022e-05,[0.00249425 0.01705869],0.00029722005031588503,[0.0025697 0.0102788],0.00011225712416001732,[0.06375465 0.0055645 ],0.004095619076785628
[1. 5.],25.999999979249584,[-1.61149323e-43  8.03814176e-03],6.461172302942107e-05,[0.00209059 0.01712911],0.00029777693355369976,[0.00207836 0.01039178],0.00011230862015118633,[0.01924168 0.01505715],0.0005969599040721787
[ 2. -5.],28.932166509822224,[ 3.23196887e-30 -8.04596953e-03],6.473762569281574e-05,[ 0.00653808 -0.00280349],5.0606067500499164e-05,[ 0.00396451 -0.00982762],0.00011229940252260035,[0.04853989 0.05268993],0.005132349825046989
[ 2. -4.],19.9317125105246,[ 1.02979576e-13 -7.98392761e-03],6.374310016135035e-05,[ 0.0074147  -0.00216805],5.967816420205677e-05,[ 0.00476756 -0.00945304],0.00011208951049773986,[-0.01597842 -0.03490868],0.0014739259313788031
[ 2. -3.],12.932166509822226,[ 1.63155869e-06 -7.83573650e-03],6.139876913178181e-05,[ 0.00855906 -0.00107866],7.442107635992222e-05,[ 0.00590544 -0.0087862 ],0.00011207157182875244,[0.00982299 0.00777062],0.0001568736549755842
[ 2. -2.],7.999546000424616,[ 0.0047643 -0.0047643],4.539702605803374e-05,[0.00999925 0.00085178],0.0001007105979177264,[ 0.00748832 -0.00748832],0.0001121497754014222,[ 6.00014277e-05 -1.60869186e-02],0.00025879255071047195
[ 2. -1.],4.999999999861121,[ 7.28384173e-03 -3.11058335e-09],5.3054350281253436e-05,[0.01132701 0.00442326],0.00014786644690374404,[ 0.00946449 -0.00473225],0.00011197080723874446,[ 0.06036284 -0.01013514],0.0037463930662888683
[2. 0.],4.0,[7.28384173e-03 1.76235289e-07],5.3054350312302635e-05,[0.01100199 0.00953644],0.0002119874836442679,[0.01058735 0.        ],0.00011209188485422212,[ 0.03654781 -0.01539116],0.0015726301690438202
[2. 1.],4.999999999861121,[7.28384173e-03 3.11058335e-09],5.3054350281253436e-05,[0.00873121 0.01356065],0.00026012518118371966,[0.00946449 0.00473225],0.00011197080723874446,[-0.03318864  0.00398896],0.0011173973602896735
[2. 2.],7.999546000424616,[0.0047643 0.0047643],4.539702605803374e-05,[0.00669489 0.01532892],0.0002797972698939452,[0.00748832 0.00748832],0.0001121497754014222,[0.04904955 0.00209702],0.002410255457446348
[2. 3.],12.932166509822226,[1.63155869e-06 7.83573650e-03],6.139876913178181e-05,[0.00530562 0.0161387 ],0.0002886071189121613,[0.00590544 0.0087862 ],0.00011207157182875244,[0.04517834 0.01616763],0.0023024744585089132
[2. 4.],19.9317125105246,[1.02979576e-13 7.98392761e-03],6.374310016135035e-05,[0.0043614  0.01653169],0.00029231869790820276,[0.00476756 0.00945304],0.00011208951049773986,[0.01118694 0.02038715],0.0005407834397273384
[2. 5.],28.932166509822224,[3.23196887e-30 8.04596953e-03],6.473762569281574e-05,[0.00371103 0.01676876],0.0002949631962526711,[0.00396451 0.00982762],0.00011229940252267809,[-0.03081758  0.05035394],0.003485242614077953
[ 3. -5.],23.86478701921984,[ 2.94046736 -4.87145662],23.07729619619242,[ 0.0087771  -0.00086268],7.778177650392016e-05,[ 2.94046607 -4.87145059],23.07729619501749,[-0.02109036 -0.00359266],0.0004577106730473226
[ 3. -4.],14.796953570542895,[ 2.94261003 -3.9041481 ],14.280575255827058,[ 9.39742317e-03 -8.92966873e-05],8.831953609088318e-05,[ 2.94260905 -3.90414716],14.280575255755517,[0.00451683 0.01084032],0.00013791435773563253
[ 3. -3.],7.864787019219836,[ 2.94349837 -2.94349837],7.568240766668904,[0.01005959 0.00093338],0.00010206647925291492,[ 2.94349806 -2.94349806],7.568240766660347,[ 0.16390653 -0.01308695],0.02703661898187199
[ 3. -2.],12.932166509822226,[ 7.83573650e-03 -1.63155869e-06],6.139876913178181e-05,[0.01094831 0.00292931],0.00012844632195826918,[ 0.0087862  -0.00590544],0.00011207157182875244,[ 0.00466631 -0.03403656],0.0011802615972639407
[ 3. -1.],9.999999979249584,[ 7.83263706e-03 -2.95475583e-24],6.135020326212062e-05,[0.01149044 0.00604517],0.0001685743658015204,[ 0.01004089 -0.00334696],0.00011202168251624434,[0.01993503 0.06030707],0.004034348162970519
[3. 0.],9.0,[7.85570685e-03 2.67609268e-09],6.171213008492851e-05,[0.01100525 0.0095503 ],0.0002123237173156503,[0.01059858 0.        ],0.0001123298994692299,[ 0.04030685 -0.00882478],0.0017025185167213039
[3. 1.],9.999999979249584,[7.83263706e-03 2.95475583e-24],6.135020326212062e-05,[0.00956093 0.01251404],0.00024801241761038967,[0.01004089 0.00334696],0.00011202168251624434,[0.02768047 0.00315214],0.0007761443769420061
[3. 2.],12.932166509822226,[7.83573650e-03 1.63155869e-06],6.139876913178181e-05,[0.00792562 0.01436513],0.0002691724388435027,[0.0087862  0.00590544],0.00011207157182875244,[0.02481733 0.04767356],0.002888667946677256
[3. 3.],7.864787019219838,[2.94349837 2.94349837],7.568240766668904,[0.00663308 0.01536453],0.0002800665689711094,[2.94349806 2.94349806],7.568240766660342,[ 0.04937283 -0.01526312],0.0026706392963938373
[3. 4.],14.796953570542895,[2.94261003 3.9041481 ],14.280575255827058,[0.00589115 0.01583632],0.0002854947387626691,[2.94260905 3.90414716],14.280575255755517,[0.06565663 0.1247371 ],0.01987013613235064
[3. 5.],23.864787019219836,[2.94046736 4.87145662],23.07729619619242,[0.00534328 0.01612532],0.00028857648789763914,[2.94046607 4.87145059],23.07729619501748,[-0.00734928  0.00333851],6.515764523191415e-05
[ 4. -5.],30.796953570542893,[ 3.89877152 -4.86887693],29.782901570283613,[0.00978485 0.00049449],9.59877681614731e-05,[ 3.89876971 -4.86887261],29.78290156966291,[-0.00256862  0.02079216],0.0004389116483960465
[ 4. -4.],21.728666122846086,[ 3.90257311 -3.90257311],20.99097456517562,[0.01012467 0.00108047],0.00010367636540950782,[ 3.9025716 -3.9025716],20.99097456502662,[0.01133733 0.01617483],0.00039016015222262217
[ 4. -3.],14.796953570542893,[ 3.9041481  -2.94261026],14.280575255849735,[0.01059423 0.00200059],0.00011624000004544576,[ 3.90414716 -2.94260905],14.280575255755515,[-0.02467402  0.01164866],0.0007444987941290493
[ 4. -2.],19.9317125105246,[ 7.98392761e-03 -1.02979576e-13],6.374310016135035e-05,[0.01128745 0.00431182],0.00014599837708484061,[ 0.00945304 -0.00476756],0.00011208951049773986,[-0.01530776 -0.00011037],0.0002343396803373128
[ 4. -1.],16.999999979110704,[7.98363890e-03 2.31214247e-43],6.373849016525022e-05,[0.01147407 0.00691169],0.0001794258051410529,[ 0.0102788 -0.0025697],0.00011225712416001732,[ 0.02908419 -0.02180588],0.0013213862172613284
[4. 0.],16.0,[ 7.98363890e-03 -1.23220389e-07],6.373849018043348e-05,[0.01100491 0.00954924],0.00021229596452580177,[0.01059216 0.        ],0.00011219376806353328,[ 0.00065464 -0.02124798],0.00045190526633909586
